en,ron,english,pos,domain
person (homo),"naáf, maɗafal",person (homo),NOUN,general
people,naf,people,NOUN,general
man (opp. woman),nárì,man (opp. woman),PROPN,general
"woman (opp.
man)",nufuy pl. asiŋgí,woman (opp. man),NOUN,general
female,nufuy,female,NOUN,general
male,nárì,male,NOUN,general
friend,jèmàt,friend,NOUN,general
friend (male),jema,friend (male),NOUN,general
friend (fem.),jam,friend (fem.),NOUN,general
"possessor, owner",naáf á ɗa,"possessor, owner",PROPN,general
liar,naáf á lan,liar,NOUN,general
blind,á nzyaw,blind,ADJ,general
lame,"ákûn, ʃigyák",lame,ADJ,general
deaf,ndwîʃ,deaf,ADJ,general
dumb (mute),halíŋ,dumb (mute),NOUN,general
insane,naáf á nyááf,insane,ADJ,general
drunk,fîl,drunk,ADJ,general
lazy,njoŋát,lazy,ADJ,general
name,súm,name,NOUN,general
pregnancy,gáà túk,pregnancy,NOUN,general
pregnant,músá ti gaa túk,pregnant,ADJ,general
menstruation,gúlá à tinda,menstruation,NOUN,general
"hunger, famine",hjem,"hunger, famine",NOUN,general
thirst,séfèf,thirst,VERB,general
hiccough,hatí’,hiccough,PROPN,general
itch,yiró,itch,VERB,general
tiredness,ʃuál,tiredness,NOUN,general
life,"mafós, cérèl",life,NOUN,general
death,mótòt,death,NOUN,general
sleep,yina,sleep,NOUN,general
dream n.,ambar,dream n.,NOUN,general
laugh,ligát,laugh,VERB,general
desire,"fûk, gwêl",desire,VERB,general
strength,ŋgaɗá,strength,NOUN,general
cleverness,sisjeŋát,cleverness,ADJ,general
fear,kucirat,fear,VERB,general
jealousy,nadôn,jealousy,NOUN,general
lie,lan,lie,VERB,general
doubt,akó wul,doubt,VERB,general
shame,ʃiʃó,shame,PROPN,general
courage,ŋgaɗá tá kó,courage,NOUN,general
truth,awéy,truth,NOUN,general
body,yici,body,NOUN,general
skin,ryaw,skin,NOUN,general
flesh,liw,flesh,NOUN,general
head,xáy,head,NOUN,general
skull,xáy,skull,NOUN,general
brain,wúf,brain,NOUN,general
bone,ŋgíʃaw,bone,NOUN,general
face,yirí,face,VERB,general
forehead,"aní, wôní",forehead,PROPN,general
eye,yirí,eye,NOUN,general
ear,kúme,ear,X,general
nose,átín,nose,NOUN,general
mucus,ʃêm,mucus,PROPN,general
cheek,"agugur, aŋgbakám",cheek,VERB,general
mouth,wo,mouth,NOUN,general
lip,mbunin,lip,NOUN,general
tongue,alés,tongue,NOUN,general
language,alés,language,NOUN,general
tooth,agíraw,tooth,PROPN,general
molar,ɓukum,molar,PROPN,general
jaw,agâltám,jaw,ADV,general
chin,gúmèt,chin,PROPN,general
beard,ʃaŋ mí gùmèt,beard,PROPN,general
hair (head),ʃáŋ hay,hair (head),NOUN,general
body hair,ʃáŋ,body hair,NOUN,general
neck,áɗúl,neck,NOUN,general
throat,aŋgóròt,throat,NOUN,general
nape (of neck),asáraŋ máɗul,nape (of neck),NOUN,general
shoulder,"ʃakót, fumwel",shoulder,NOUN,general
breast (female),fóf,breast (female),NOUN,general
chest,àcà,chest,NOUN,general
heart,akó,heart,NOUN,general
liver,nín,liver,NOUN,general
kidney,láùnjàr,kidney,NOUN,general
belly (external),túk,belly (external),PROPN,general
"stomach
(internal)",túk,stomach (internal),NOUN,general
navel,mutuk,navel,NOUN,general
arm,kurú,arm,NOUN,general
armpit,ŋgbét á jol,armpit,PROPN,general
elbow,kukwat,elbow,NOUN,general
hand,jol,hand,NOUN,general
finger,wí jol,finger,NOUN,general
claw,agísindáw,claw,NOUN,general
fist,kutúm jol,fist,PROPN,general
leg,ʃií,leg,PROPN,general
foot,àpàs á ʃií,foot,NOUN,general
knee,arum,knee,NOUN,general
thigh,fôr,thigh,NOUN,general
shin (bone),asandaw,shin (bone),PROPN,general
heel,tutut á ʃi,heel,VERB,general
back,wí,back,ADV,general
anus,mùryàt,anus,NOUN,general
penis,didís,penis,NOUN,general
testicles,ʃuŋgwal,testicles,NOUN,general
vagina,mbukòl,vagina,PROPN,general
ribs,ʃímba,ribs,NOUN,general
lungs,pòʃòʃ,lungs,NOUN,general
vein,ʃer a jol,vein,ADV,general
sinew,tutút,sinew,VERB,general
"intestines, guts",yinji,"intestines, guts",NOUN,general
voice,aɗul,voice,NOUN,general
milk,fóf,milk,NOUN,general
"saliva, spittle",yílá,"saliva, spittle",PROPN,general
tear,yíla (a yirí),tear,NOUN,general
blood,inzom,blood,NOUN,general
urine,njár,urine,NOUN,general
excrements,fí’,excrements,NOUN,general
bone marrow,atífyór,bone marrow,NOUN,general
thing,ɗa,thing,NOUN,general
smell,andó,smell,NOUN,general
"dirt, filth",gùk,"dirt, filth",NOUN,general
end,marál,end,NOUN,general
heap,musó’,heap,NOUN,general
hole,ɓo,hole,NOUN,general
few,vaùt,few,ADJ,general
some,mî,some,PRON,general
all,ʃàk,all,PRON,general
"many, much",hyáŋ,"many, much",ADV,general
"big, large, great",mban,"big, large, great",ADJ,general
small,va:t,small,ADJ,general
long (of stick),lá’,long (of stick),ADV,general
short (of stick),rweʃ,short (of stick),ADJ,general
deep,ɗorol,deep,ADJ,general
high,lá’,high,ADJ,general
thin,céŋ,thin,ADJ,general
thick (fat),ró’,thick (fat),ADJ,general
new,hwóy,new,ADJ,general
old (opp. new),hórèl,old (opp. new),PROPN,general
young,va:t,young,ADJ,general
dirty,má gùk,dirty,ADJ,general
clean,mâ tón,clean,ADJ,general
bitter,mâ tanda,bitter,ADJ,general
sour,mâ mwés,sour,ADJ,general
wet,mâ lo,wet,PROPN,general
dry,mâ nze’,dry,ADJ,general
hot,mâ hoùr,hot,ADJ,general
warm,mâ lamwan,warm,ADJ,general
cold,má ɗiùr,cold,ADJ,general
good,mâ ton,good,ADJ,general
bad,mâ tâʃ,bad,ADJ,general
ugly,mâ tâʃ,ugly,ADJ,general
"right, correct",giga’,"right, correct",ADJ,general
heavy,mâ dun,heavy,ADJ,general
"light (not
heavy)",mâ dun gwà,light (not heavy),NOUN,general
sharp,mâ wo’,sharp,ADJ,general
pointed,mâ sambet,pointed,VERB,general
full,mâ kyálàk,full,ADJ,general
hollow,ahoŋgó,hollow,ADJ,general
hard,ma ŋgaɗá,hard,ADJ,general
difficult,má ʃùm,difficult,ADJ,general
rotten,mâ nyeùr,rotten,ADJ,general
"wide, large",mâ bibaŋ,"wide, large",ADJ,general
narrow,má bibaŋ gwa,narrow,ADJ,general
round,mâ ʃiral,round,ADJ,general
smooth,"mâ mu’, mâ",smooth,PROPN,general
crooked,mâ mahuriʃ,crooked,ADJ,general
straight,mâ muzár,straight,ADV,general
other,mây káŋ,other,ADJ,general
alone,cyès,alone,ADV,general
who?,mwáù,who?,PRON,general
what?,anáù,what?,PRON,general
with,i gúlát,with,ADP,general
place,jíl,place,NOUN,general
near,íŋgás,near,ADP,general
far,gàlàŋ,far,ADV,general
here,nánì,here,ADV,general
there,títjêy,there,PRON,general
when?,táɗí,when?,SCONJ,general
where?,áùlì,where?,SCONJ,general
"in, at",í,"in, at",ADP,general
inside,í ɗjen,inside,ADV,general
outside,í ɓoón,outside,ADV,general
side,tí ɓyáw,side,NOUN,general
left side,ɓyáw àkùtyal,left side,VERB,general
right side,àwuùɗjen,right side,NOUN,general
in front,í wo,in front,ADP,general
behind,tá ɗiwi,behind,ADV,general
above,ɗifit,above,ADV,general
under,ɗjen,under,ADP,general
across,lugwáùt,across,ADP,general
straight on,muzár,straight on,ADV,general
between,í sa,between,ADP,general
middle,sá,middle,ADJ,general
in the middle of,í sa,in the middle of,ADP,general
I,yín,i,PRON,general
you (thou),yá,you (thou),PRON,general
"you (thou)
(fem.)",yíʃ,you (thou) (fem.),PRON,general
he,sí,he,PRON,general
she,tí,she,PRON,general
we (incl.),njá,we (incl.),PRON,general
we (excl.),nín,we (excl.),PRON,general
you,kú,you,PRON,general
they,sín,they,PRON,general
animal,ye',animal,NOUN,general
wild animal,ye’ áa yaw,wild animal,NOUN,general
elephant,dìdàm,elephant,NOUN,general
hippopotamus,ŋgiʃ (?),hippopotamus,PROPN,general
tusk,anzâŋ,tusk,PROPN,general
"bush-cow
(buffalo)",kusáy,bush-cow (buffalo),PROPN,general
rhinoceros,maʃom,rhinoceros,PROPN,general
antelope (gen.),arít,antelope (gen.),PROPN,general
gazelle (gen.),tarafyáw,gazelle (gen.),PROPN,general
giraffe,marɗuŋ,giraffe,PROPN,general
wart-hog,vyer,wart-hog,NOUN,general
baboon,waŋgay,baboon,PROPN,general
monkey (gen.),keraŋ,monkey (gen.),PROPN,general
chimpanzee,párám,chimpanzee,PROPN,general
mongoose,ndúrùm,mongoose,NOUN,general
"squirrel
(ground-)",ɗíme:r,squirrel (ground-),PROPN,general
mouse,guróm,mouse,PROPN,general
rat (gen.),guróm,rat (gen.),PROPN,general
shrew,únzòf,shrew,VERB,general
rabbit,awé:r,rabbit,NOUN,general
hare,awé:r,hare,PROPN,general
hedgehog,ndiŋkáʃ,hedgehog,PROPN,general
porcupine,ŋgût,porcupine,NOUN,general
wild cat sp.,"aŋáw (?), tùndúri",wild cat sp.,NOUN,general
leopard,rwàn,leopard,NOUN,general
lion,kúkùm,lion,NOUN,general
hyena,murûm,hyena,PROPN,general
jackal,kórò’,jackal,NOUN,general
snake (gen.),ɗamùlulul,snake (gen.),PROPN,general
python,nyís,python,PROPN,general
viper,àkumbo,viper,NOUN,general
spitting cobra,yírúm,spitting cobra,NOUN,general
lizard (gen.),akúmbél,lizard (gen.),PROPN,general
"agama lizard
(red-headed)",ragbóŋ,agama lizard (red-headed),PROPN,general
crocodile,hàràm,crocodile,PROPN,general
gecko,atáɓúlès,gecko,NOUN,general
monitor,ákôr,monitor,PROPN,general
chameleon,akala,chameleon,NOUN,general
crab,ŋgyaráw,crab,PROPN,general
frog,azîw,frog,NOUN,general
toad,pwoɗak,toad,NOUN,general
snail,andák,snail,NOUN,general
tortoise,àkùr,tortoise,PROPN,general
fish (gen.),gwoʃé,fish (gen.),PROPN,general
bird,ɗeéʃ,bird,NOUN,general
nest,àwúrì,nest,NOUN,general
cattle egret,kapíyà,cattle egret,ADJ,general
crested crane,ŋarát,crested crane,NOUN,general
crow,ahaŋ,crow,NOUN,general
dove,àrugutùm,dove,NOUN,general
pigeon,àmbóɓóp,pigeon,NOUN,general
bush fowl,nukwé,bush fowl,NOUN,general
eagle,àkìm,eagle,PROPN,general
"hawk, falcon","àgbwèr (hawk), akpakpóŋ (falcon)","hawk, falcon",INTJ,general
kite (black-),ahwálá,kite (black-),PROPN,general
ostrich,asyawá,ostrich,NOUN,general
owl,àwùmà,owl,NOUN,general
bat,"aɗesés (small sp.), àtàránjò (big sp.)",bat,NOUN,general
"ant (big, black)",àtágàrà,"ant (big, black)",ADJ,general
ant (red),púrí tí gúròm,ant (red),ADJ,general
"ant (small,
black)",anzényet,"ant (small, black)",ADJ,general
ant-hill,agandáw,ant-hill,NOUN,general
termite,yuw,termite,PROPN,general
termite mound,agandáw,termite mound,NOUN,general
housefly,akúkwyaŋ,housefly,VERB,general
mosquito,awareŋ,mosquito,NOUN,general
wasp,àhàr â gimbit,wasp,PROPN,general
butterfly,àlàk á bìbìl,butterfly,NOUN,general
caterpillar,jijíríŋ,caterpillar,PROPN,general
centipede,ŋgyer tí canan,centipede,VERB,general
worm (gen.),"rùmbùs (larvae), anzúr (worm)",worm (gen.),PROPN,general
bug,àwareŋ,bug,NOUN,general
louse,tí’,louse,NOUN,general
flea,húsí,flea,PROPN,general
tick,tundús,tick,VERB,general
cricket,akáwen,cricket,NOUN,general
grasshopper,"àràŋgàʃ, kaká’, laŋgáʃ",grasshopper,NOUN,general
locust,tuwál,locust,NOUN,general
spider,"àʃáŋàŋ, yiw",spider,VERB,general
cobweb,lá tà ʃáŋàŋ,cobweb,PROPN,general
mantis,gigyalóŋ,mantis,NOUN,general
scorpion,ŋgyer,scorpion,NOUN,general
"sting, quill",aɗúl,"sting, quill",PROPN,general
"sting (bee, ant, scorpion)",têf,"sting (bee, ant, scorpion)",NOUN,general
"domestic
animal","yé’, safát",domestic animal,NOUN,general
female animal,atís,female animal,NOUN,general
male animal,awus,male animal,NOUN,general
horse,púrí,horse,NOUN,general
mare,atís á púrí,mare,NOUN,general
dog,káɓwì,dog,NOUN,general
cat,mus,cat,NOUN,general
cattle,randóŋ,cattle,NOUN,general
cow,atís á randóŋ,cow,NOUN,general
bull,awus á randóŋ,bull,NOUN,general
calf,wí ti randóŋ,calf,NOUN,general
goat,dàràm,goat,PROPN,general
she-goat,atís á dàràm,she-goat,PROPN,general
he-goat,arúk,he-goat,PROPN,general
kid,wúy á dàràm,kid,PROPN,general
sheep,tumó,sheep,NOUN,general
ewe,atís á tumó,ewe,PROPN,general
ram,andúr,ram,VERB,general
wether,ligés,wether,PROPN,general
pig,"ŋgiʃ, àládè",pig,NOUN,general
sow,atís á ŋgiʃ,sow,VERB,general
enclosure,"àrì, kpùk, ahólóŋ",enclosure,NOUN,general
stick,ahó’,stick,PROPN,general
chicken,caán,chicken,NOUN,general
chick,wi ti caán,chick,NOUN,general
cock,kurúŋgòŋ,cock,NOUN,general
guinea-fowl,rukúm,guinea-fowl,NOUN,general
meat,lîw,meat,NOUN,general
horn,njél,horn,VERB,general
tail,burtúŋ,tail,NOUN,general
egg,hó’,egg,NOUN,general
wing,kurú,wing,NOUN,general
feather,ʃáŋ,feather,PROPN,general
crop (bird),"aŋgóròt, murgiʃ",crop (bird),NOUN,general
dung,fi’ á safát,dung,PROPN,general
bee,àmòt,bee,PROPN,general
bee-keeper,naáf a wó’ àmòt,bee-keeper,NOUN,general
bee-hive,puk á mòt,bee-hive,ADJ,general
honey,ayin á mòt,honey,NOUN,general
queen bee,atís á mòt,queen bee,PROPN,general
fishing net,àjùjuk,fishing net,NOUN,general
hook,baŋger á ger goʃé,hook,NOUN,general
fisherman,naáf á ger goʃé,fisherman,VERB,general
hunt,war,hunt,NOUN,general
hunter,naáf á war,hunter,NOUN,general
individual hunt,war,individual hunt,NOUN,general
communal hunt,war,communal hunt,NOUN,general
trap (pitfall),kaziriŋ,trap (pitfall),NOUN,general
snare (trap),"daŋgor, akpwéŋ (door of a cage trap)",snare (trap),NOUN,general
arrow,nvyâ,arrow,NOUN,general
bow (weapon),arúk,bow (weapon),VERB,general
quiver,la nvyà,quiver,NOUN,general
spear,tay,spear,PROPN,general
knife,yiʃúk,knife,NOUN,general
club,àkwàrè,club,NOUN,general
gun,boroŋ,gun,PROPN,general
sling,áŋgbàŋ,sling,PROPN,general
war,ɓúr,war,NOUN,general
shield,ŋgurî,shield,PROPN,general
helmet,akámbùt,helmet,NOUN,general
spur,àgirgya,spur,NOUN,general
riding-whip,úʃoréŋ,riding-whip,NOUN,general
bush,"àyaw, áw",bush,PROPN,general
forest,àriw,forest,NOUN,general
grass,ʃala’,grass,NOUN,general
tree,"awítyaw, àwùr",tree,NOUN,general
wood,àwùr,wood,NOUN,general
branch (twig),kuráy,branch (twig),PROPN,general
trunk,úfwi á wityáw,trunk,NOUN,general
root,ʃer,root,NOUN,general
bark (of tree),háɓop,bark (of tree),PROPN,general
shell (peel),háɓop,shell (peel),PROPN,general
leaf (gen.),hú’aʃ,leaf (gen.),PROPN,general
flower,abúf,flower,NOUN,general
fruit,amwál,fruit,NOUN,general
thorn,agírí,thorn,VERB,general
straw (stalks),yíʃel,straw (stalks),NOUN,general
grain,ʃinjá,grain,NOUN,general
mushroom,arámbôk,mushroom,NOUN,general
kapok,arurúk,kapok,PROPN,general
"marrow, pulp",ʃetót,"marrow, pulp",NOUN,general
pawpaw,akapús,pawpaw,NOUN,general
groundnut,àyìrbá,groundnut,ADJ,general
kolanut,gó:rò,kolanut,PROPN,general
banana,"àyàbà, àtàrndòm",banana,PROPN,general
cowpea,àŋgìrèm,cowpea,VERB,general
garden egg,aʃó,garden egg,NOUN,general
pumpkin,àmbulaŋ,pumpkin,VERB,general
gourd,aról,gourd,PROPN,general
guinea-yam,àmùlò’,guinea-yam,NOUN,general
sweet potato,ruwul,sweet potato,NOUN,general
cocoyam,ɓwàr,cocoyam,PROPN,general
guinea corn,yaŋgon á yàs,guinea corn,NOUN,general
millet (gen.),aŋgáy,millet (gen.),PROPN,general
late millet (gen.),aŋgáy,late millet (gen.),PROPN,general
"early millet,
bulrush-millet",aŋgáy,"early millet, bulrush-millet",ADJ,general
maize,yaŋgon ú sukpúk,maize,NOUN,general
fonio,fo’,fonio,PROPN,general
okra,úndana,okra,PROPN,general
chili pepper,ambore,chili pepper,NOUN,general
red sorrel,wanjaŋ,red sorrel,PROPN,general
sesame,"guni’, hârfí’",sesame,PROPN,general
palm tree,àmàʃin,palm tree,NOUN,general
date-palm,àhàràjáw,date-palm,NOUN,general
oil-palm,àmàʃin,oil-palm,NOUN,general
oil-palm,àmàʃin,oil-palm,NOUN,general
"sycamore, fig",àsùrùf,"sycamore, fig",PROPN,general
locust,àmùral,locust,NOUN,general
mahogany,àhàyàt,mahogany,NOUN,general
red silk cotton,mànjù,red silk cotton,NOUN,general
white silk cotton,mànjù,white silk cotton,NOUN,general
shea,gò:,shea,PROPN,general
"gum arabic
tree, red",kisen,"gum arabic tree, red",VERB,general
camwood,àfùʃin,camwood,VERB,general
field(s),gòŋ,field(s),PROPN,general
farm,gòŋ,farm,NOUN,general
"cultivated
ground (field)","suŋgul, tuúr",cultivated ground (field),NOUN,general
"fallow, unfarmed land",korós,"fallow, unfarmed land",NOUN,general
soil,là’,soil,NOUN,general
"fence (around
farm)",àrì,fence (around farm),NOUN,general
seed,arés,seed,NOUN,general
hoe (gen.),ʃité’ a vát,hoe (gen.),PROPN,general
plough,ʃité’,plough,NOUN,general
sickle,àbây,sickle,VERB,general
threshing,ʃaŋgot,threshing,VERB,general
bundle,muno’,bundle,NOUN,general
"compound,
house",aholoŋ,"compound, house",PROPN,general
entrance hut,áɓî,entrance hut,NOUN,general
doorway,wó ɓî,doorway,NOUN,general
door,wó holoŋ,door,NOUN,general
fence (gen.),ari,fence (gen.),PROPN,general
stone wall,"ánjâr, tugór",stone wall,NOUN,general
house,lá,house,PROPN,general
grass hut,àbùt,grass hut,NOUN,general
room,túk,room,NOUN,general
wall (of house),kandí,wall (of house),PROPN,general
roof,awár,roof,NOUN,general
veranda,bak,veranda,PROPN,general
"ruin (of a
building)",gifír,ruin (of a building),NOUN,general
abandoned compound,gifír,abandoned compound,VERB,general
bench,gírìŋ,bench,NOUN,general
chair,awutyaw á mumûn,chair,NOUN,general
bed,hâyná,bed,NOUN,general
mat,kábálàŋ,mat,NOUN,general
blanket,fata’,blanket,NOUN,general
granary,"kandiriŋ, pùk, yèn",granary,NOUN,general
rubbish heap,boŋa,rubbish heap,NOUN,general
well,tindó’,well,ADV,general
"vessel to draw
water",hôl á yîn,vessel to draw water,NOUN,general
"storage pot
(gen.)",àlâŋ,storage pot (gen.),NOUN,general
"broom, besom",àwâs,"broom, besom",PROPN,general
soap,kileŋ,soap,NOUN,general
bottle,andú,bottle,NOUN,general
lamp,kàyàŋ,lamp,NOUN,general
clay-pit,boŋa,clay-pit,NOUN,general
mud-brick,là’,mud-brick,NOUN,general
fire,mwan,fire,NOUN,general
flame,alés á mwan,flame,NOUN,general
"fire-place, hearth",andêŋ,"fire-place, hearth",NOUN,general
firewood,àwùr á mwan,firewood,PROPN,general
pile of firewood,faŋ á àwùr,pile of firewood,NOUN,general
smoke,gilel,smoke,VERB,general
ashes,"múrûf (cold a.),",ashes,NOUN,general
axe (gen.),agayá,axe (gen.),PROPN,general
handle,ruŋgul,handle,VERB,general
cooking pot,muʃet á àtòl,cooking pot,NOUN,general
"water carrying
pot","àlâŋ, tumbi",water carrying pot,NOUN,general
water storage pot,"àlâŋ, tumbi",water storage pot,NOUN,general
cup,"kíkyâw, àrede",cup,PROPN,general
dish,kwâŋ,dish,NOUN,general
knife,yiʃúk,knife,NOUN,general
spoon,àkúte,spoon,NOUN,general
stirring stick,asú’,stirring stick,NOUN,general
grinding stone,fùfùn,grinding stone,VERB,general
upper stone,aní’,upper stone,NOUN,general
mortar,kuɗúŋ,mortar,NOUN,general
pestle,agúm,pestle,VERB,general
winnow,kaɓúr,winnow,NOUN,general
calabash (gen.),haw,calabash (gen.),PROPN,general
"lid (circular
mat)",muful,lid (circular mat),PROPN,general
calabash sp.,haw,calabash sp.,NOUN,general
bottle gourd,andú,bottle gourd,NOUN,general
bag (gen.),folo,bag (gen.),PROPN,general
bundle (gen.),no’,bundle (gen.),PROPN,general
food,wuɗéŋ,food,NOUN,general
mush,awás,mush,NOUN,general
gruel,àfyè,gruel,NOUN,general
"sauce, soup,
stew",kiliŋ,"sauce, soup, stew",NOUN,general
"corn, grain",ʃinjá,"corn, grain",NOUN,general
flour,wòt,flour,NOUN,general
oil,mar,oil,NOUN,general
palm oil,mar á maʃín,palm oil,NOUN,general
fat,fiɗól,fat,ADJ,general
butter,mar á randóŋ,butter,NOUN,general
foam,afwós,foam,NOUN,general
salt,fyáw,salt,NOUN,general
pepper,ambore,pepper,NOUN,general
beer pot (gen.),màlìs’àlàŋ à ʃú,beer pot (gen.),NOUN,general
beer (gen.),aʃú,beer (gen.),PROPN,general
filter (for beer),acicák,filter (for beer),PROPN,general
clothes,fatá’,clothes,NOUN,general
cap,akámbùt,cap,NOUN,general
"robe (man's
gown)",fatá’,robe (man's gown),NOUN,general
"belt, girdle","ànor, àjùk (women's belt), àwàrdàm (men)","belt, girdle",PROPN,general
penis sheath,yiʃwál,penis sheath,NOUN,general
"woman's
loincloth","àwàl (front), árè’ (back)",woman's loincloth,NOUN,general
"scarf
(headcloth)",rurwan,scarf (headcloth),PROPN,general
head-pad,hât,head-pad,NOUN,general
"shoe, sandal",kpakasak,"shoe, sandal",ADJ,general
walking stick,"ahó’ (men), ʃàw (women)",walking stick,VERB,general
ring (finger),ʃùk,ring (finger),PROPN,general
bracelet,ʃùk,bracelet,NOUN,general
necklace,hirol,necklace,NOUN,general
"earring (ear-
plug)",àgur á gùt,earring (ear- plug),NOUN,general
beads,karɓwe,beads,NOUN,general
needle,baŋgyer,needle,NOUN,general
cotton,árurúk,cotton,NOUN,general
thread,yêr,thread,PROPN,general
dye,ɓirís,dye,NOUN,general
plaiting,ɗumó,plaiting,VERB,general
basket (gen.),cèt,basket (gen.),PROPN,general
mat (gen.),kabálaŋ,mat (gen.),PROPN,general
rope (gen.),yèr,rope (gen.),PROPN,general
knot,cuná:l,knot,NOUN,general
leather,áre’,leather,NOUN,general
skin,áre’,skin,NOUN,general
"pricker, awl",ɓaŋger,"pricker, awl",PROPN,general
tan,lotál,tan,PROPN,general
"smithery, forge",muleʃ,"smithery, forge",NOUN,general
blacksmith,naáf á dûk cef,blacksmith,PROPN,general
furnace,jil á dûk cef,furnace,NOUN,general
bellows,fukút,bellows,VERB,general
blaze,alés á mwan,blaze,VERB,general
charcoal,aŋga’,charcoal,NOUN,general
ash,múrûf,ash,NOUN,general
iron (metal),cef,iron (metal),NOUN,general
iron-ore,cef á lwa’,iron-ore,NOUN,general
anvil,"àtis á muleʃ, huhúl",anvil,NOUN,general
hammer,"mariŋgi’ (modern hammer), dukúlum (round stone)",hammer,NOUN,general
tongs (a pair of-),ŋâw,tongs (a pair of-),NOUN,general
chain,ajíjek,chain,NOUN,general
chisel,mutyé’,chisel,NOUN,general
clay,là’,clay,NOUN,general
kiln,jil á fot là’,kiln,NOUN,general
pot (gen.),muʃét,pot (gen.),NOUN,general
handle of pot,joól,handle of pot,NOUN,general
"spout, nozzle",ɓò,"spout, nozzle",NOUN,general
adze,mutyé’,adze,NOUN,general
carve wood,fâl,carve wood,NOUN,general
wood,àwutyaw,wood,NOUN,general
sculpture,fálàl,sculpture,NOUN,general
market,jil á musó’,market,NOUN,general
trade,juwíl,trade,NOUN,general
money,cef,money,NOUN,general
cowry,karɓwe,cowry,VERB,general
bag,folo,bag,NOUN,general
merchant (gen.),naáf á juwíl,merchant (gen.),PROPN,general
butcher,naáf á hyewát liw,butcher,PROPN,general
loss,fúrùl,loss,NOUN,general
debt,wulél,debt,NOUN,general
journey,yât,journey,NOUN,general
lorry,púrí mú mbwan,lorry,NOUN,general
load,gula,load,NOUN,general
relative,anyát,relative,ADJ,general
ancestor,"adá a kalaŋ, adá à nvo’",ancestor,PROPN,general
father,adá,father,PROPN,general
father my,adítyen,father my,PROPN,general
father your,"adítya, adítyeʃ",father your,VERB,general
"father his,
father her","adítyes, adítyet","father his, father her",PROPN,general
mother,yaáŋ,mother,NOUN,general
mother my,yaáŋ sin,mother my,NOUN,general
mother your,yaáŋ sa,mother your,NOUN,general
"mother his, mother her","yaáŋ sis, yaáŋ sit","mother his, mother her",NOUN,general
child,"wí, pl. únôn",child,NOUN,general
"boy, son",wí má narí,"boy, son",PROPN,general
daughter,wí útasiŋgí,daughter,PROPN,general
baby,àkalijiw,baby,NOUN,general
husband,ná:ri,husband,NOUN,general
woman,"nufwi, pl. asiŋgí",woman,NOUN,general
wife,nufwi a ɗirí,wife,NOUN,general
co-wife,jàmsìt,co-wife,NOUN,general
"brother, elder",jaren á mban,"brother, elder",NOUN,general
"brother,
younger",jaren a vát,"brother, younger",PROPN,general
"sister, elder",cinesin á mbwan,"sister, elder",NOUN,general
"sister, younger",cinesin a vát,"sister, younger",PROPN,general
"mother's
brother",ʃiʃín,mother's brother,NOUN,general
