en,ron,english,pos,domain
father's brother,jares á diten,father's brother,NOUN,general
mother's sister,cinísit tí yasín,mother's sister,NOUN,general
father's sister,ànísis tá diten,father's sister,NOUN,general
grandmother,yáŋ ta diten,grandmother,NOUN,general
grandfather,ada á diten,grandfather,NOUN,general
grandson,wí à wítyen,grandson,NOUN,general
granddaughter,wí ti wítyen,granddaughter,NOUN,general
senior,mámban,senior,ADJ,general
in-law,ahén,in-law,ADP,general
mother-in-law,àkày,mother-in-law,NOUN,general
father-in-law,ahén,father-in-law,PROPN,general
sister-in-law,àkày,sister-in-law,NOUN,general
bride,nufi a hway,bride,NOUN,general
bridegroom,nare a hway,bridegroom,PROPN,general
bachelor,naáf á ɗàhòlòŋ,bachelor,NOUN,general
"maiden, virgin",wí tasiŋgí,"maiden, virgin",PROPN,general
orphan,mucén,orphan,NOUN,general
widow,lèn,widow,NOUN,general
lineage,arés,lineage,NOUN,general
clan,arés,clan,PROPN,general
white man,"masárá, malwya",white man,NOUN,general
poor,naáf á lèl,poor,ADJ,general
rich,àgòm,rich,ADJ,general
slave,muhór,slave,NOUN,general
guest (stranger),aró,guest (stranger),PROPN,general
midwife,nufwi á mûs gír,midwife,PROPN,general
age-mate,waya,age-mate,NOUN,general
age-group,waya,age-group,NOUN,general
marriage,ɗiri,marriage,NOUN,general
dowry,safát,dowry,ADV,general
twin,anjân,twin,ADJ,general
chief,sàf,chief,NOUN,general
king,sàf,king,NOUN,general
queen,àkwìr (most beloved wife),queen,PROPN,general
"chieftaincy,
(reign)",gôm,"chieftaincy, (reign)",NOUN,general
royal family,hòrò,royal family,NOUN,general
royal council,kòcòk á hòrò,royal council,NOUN,general
palace,"lá tí sàf, lá hòrò",palace,NOUN,general
tribut,gondo,tribut,ADV,general
law,málè’,law,NOUN,general
"offence,
violation",tyêk ɓúr,"offence, violation",NOUN,general
court,la a ɓúr,court,NOUN,general
compensation,tálàl,compensation,NOUN,general
defend,"fâŋ, ʃetâl",defend,VERB,general
"judge, pass a
sentence",sîk ɓúr,"judge, pass a sentence",VERB,general
divorce,"ɗwal (leave husband), makar",divorce,NOUN,general
theft,anjirát,theft,NOUN,general
murder,dukwal hai,murder,NOUN,general
thief,àcer,thief,NOUN,general
drum (gen.),àŋgəŋgàŋ,drum (gen.),PROPN,general
"drum (hour
glass)",útàŋgəŋgàŋ (small drum),drum (hour glass),NOUN,general
drumstick,awutyaw á cye àŋgəŋgàŋ,drumstick,ADJ,general
rattle,úcákây,rattle,VERB,general
bell,guŋgoréŋ,bell,NOUN,general
horn,"njel (small), rugbá (big)",horn,VERB,general
raft-zither,ɗìŋ,raft-zither,PROPN,general
dance (gen.),"agó, ahsír",dance (gen.),PROPN,general
masquerade,tàrɓwàʃ,masquerade,VERB,general
song,agó,song,NOUN,general
feast (gen.),àgot,feast (gen.),PROPN,general
priest (gen.),naáf á tàrɓwàʃ,priest (gen.),PROPN,general
rainmaker,sàf á fo’,rainmaker,NOUN,general
diviner,woró,diviner,NOUN,general
"sorcerer,
wizard","naáf abá:n, naáf á kaɗir","sorcerer, wizard",NOUN,general
witchcraft,wó’ abá:n,witchcraft,NOUN,general
ordeal,"wara:t, sêr",ordeal,NOUN,general
god (high),àdá: fàt,god (high),PROPN,general
masquerades,"ùrùn, màŋgà:m, munja, anjákawá:, tàrɓwàʃ, andòŋ, úkùk",masquerades,NOUN,general
ghost,aʃilím,ghost,NOUN,general
spirit of a place,máhurúl,spirit of a place,PROPN,general
personal spirit,alú’,personal spirit,NOUN,general
charm,ɓût wuɗén (charm to protect seeds),charm,NOUN,general
"world or place
of dead",naf á ndìk,world or place of dead,NOUN,general
sacrifice (gen.),wòràt,sacrifice (gen.),PROPN,general
circumcision,nyâf tá únôn,circumcision,NOUN,general
death,môt,death,NOUN,general
unnatural death,mótòt á guyât,unnatural death,NOUN,general
corpse,wû:n,corpse,NOUN,general
grave (tomb),yífof,grave (tomb),PROPN,general
funeral,ɓûr,funeral,PROPN,general
second funeral,vô jíl,second funeral,NOUN,general
"facial markings,
scarification",alé’,"facial markings, scarification",NOUN,general
soul,alú’,soul,NOUN,general
taboo,"málè’, lé’",taboo,NOUN,general
book,hu’ á woróŋ,book,PROPN,general
"medicine man, herbalist",worá,"medicine man, herbalist",NOUN,general
medicine,ácu:r,medicine,NOUN,general
poison,ácu:r,poison,NOUN,general
cough,ʃèm,cough,PROPN,general
fever,àlámwàn,fever,NOUN,general
"sore, wound",àlèw,"sore, wound",ADJ,general
scar,ndasak,scar,NOUN,general
abscess,rûf,abscess,PROPN,general
pus,"àyìn á rûf, àyìn á mburíʃ",pus,PROPN,general
disease (gen.),mót,disease (gen.),PROPN,general
malaria,alámwan,malaria,PROPN,general
dysentery,"makú:s, kàfò:r",dysentery,VERB,general
nature,lá:,nature,NOUN,general
world,lá:,world,NOUN,general
sky,afit,sky,NOUN,general
star,ʃinjórè,star,PROPN,general
evening star,àkwìr tí ɗumbwás,evening star,NOUN,general
north star,úʃoŋé’,north star,PROPN,general
Pleiades,únó rìnày,pleiades,NOUN,general
Orion,ʃukwá à púrí,orion,NOUN,general
moon (month),ɗumbwás,moon (month),PROPN,general
sun,fat,sun,PROPN,general
rainbow,àtá màhòn,rainbow,NOUN,general
wind,hut,wind,NOUN,general
storm,àwúrà,storm,NOUN,general
cloud (gen.),aréféf,cloud (gen.),PROPN,general
rain cloud,aréféf,rain cloud,NOUN,general
rain,yuhun,rain,NOUN,general
lightning,nzilwít,lightning,NOUN,general
thunder,ndùrùm,thunder,NOUN,general
hail,ʃir,hail,NOUN,general
dew,"ʃinjir, muná:la",dew,NOUN,general
harmattan,hût rîn,harmattan,PROPN,general
"dust cloud
(fog) of harmattan",aɓúk,dust cloud (fog) of harmattan,NOUN,general
south,ɓwyáw,south,ADJ,general
north,ɓwyáw,north,NOUN,general
west,jínikáʃ,west,PROPN,general
east,ɗaháyaʃ,east,PROPN,general
side,ɓwyáw,side,NOUN,general
year,wíl,year,NOUN,general
wet season,fì,wet season,NOUN,general
"dryness, aridity",humbíl,"dryness, aridity",PROPN,general
time,huron,time,NOUN,general
day,rin,day,NOUN,general
daylight,ta: rin,daylight,NOUN,general
shade,célè’,shade,NOUN,general
shadow,àʃìlim,shadow,NOUN,general
dawn,tá húnjil áʃe’,dawn,NOUN,general
morning,tá húnjil,morning,NOUN,general
noon,tá rín,noon,NOUN,general
evening,tà mwànàt,evening,NOUN,general
night,màfò’,night,NOUN,general
darkness,bîŋ,darkness,NOUN,general
tomorrow,húnjil,tomorrow,NOUN,general
yesterday,áŋgâ,yesterday,NOUN,general
today,rúmày,today,NOUN,general
"days of the
week (gen.)",muná:ní,days of the week (gen.),NOUN,general
last year,àmbwà tísát munâ:,last year,NOUN,general
next year,ùfòt tísat,next year,NOUN,general
past,ànvó á ʃaʃ,past,ADJ,general
"country
(region)",hòrò,country (region),NOUN,general
ground,"la’, ndìk",ground,NOUN,general
border,mukáráy,border,NOUN,general
town,hòrò,town,NOUN,general
village,hwéŋ,village,NOUN,general
road,ta:r,road,NOUN,general
path (way),ta:r á ʃi,path (way),NOUN,general
bridge,"mé’, tàʃ, mágigíŋ",bridge,PROPN,general
water,àyîn,water,NOUN,general
spring (of water),"yirí àyîn, muhayat",spring (of water),NOUN,general
river,àlè’,river,NOUN,general
seasonal river,pok,seasonal river,NOUN,general
riverbank,wo:le,riverbank,PROPN,general
lake (pond),curuŋgul,lake (pond),PROPN,general
marsh(land),dìdèŋ,marsh(land),PROPN,general
"swamp, morass",rubón,"swamp, morass",NOUN,general
mountain,àràm,mountain,NOUN,general
hill,úyirí,hill,PROPN,general
rock,"aram, áyí, támbà",rock,NOUN,general
cave,tí:r,cave,VERB,general
clay,là’,clay,NOUN,general
sand,anjór,sand,NOUN,general
fine sand,anjór,fine sand,NOUN,general
"coarse sand,
gravel",ʃòrôŋ,"coarse sand, gravel",VERB,general
laterite,ahók,laterite,ADJ,general
stone,áyí,stone,NOUN,general
pebble,háʃàr,pebble,ADJ,general
dust,ɓú:rà,dust,NOUN,general
flow,múɗòr,flow,VERB,general
shine (beam),ndâ,shine (beam),VERB,general
white,ma fel,white,ADJ,general
blue,mâ:fon ndi’ndí’,blue,ADJ,general
black,mâ:fon tínyá’,black,ADJ,general
red,ma lwya,red,ADJ,general
"green (blue like
leaves)",arúrùm,green (blue like leaves),PROPN,general
1,hâ:m,1,NUM,general
2,wùl,2,NUM,general
3,kpán,3,NUM,general
4,pú’,4,NUM,general
5,hárá,5,NUM,general
6,hárâm,6,NUM,general
7,melo’,7,NUM,general
8,fúɗêt,8,NUM,general
9,yelâm,9,NUM,general
10,háhárá,10,NUM,general
11,(háhárá) mulgwá hâ:m,11,NUM,general
12,"(háhárá) mulgwá wùl, re’",12,NUM,general
13,(háhárá) mulgwá kpán,13,NUM,general
14,(háhárá) mulgwá pú’,14,NUM,general
15,(háhárá) mulgwá hárá,15,NUM,general
16,(háhárá) mulgwá hárâm,16,NUM,general
17,(háhárá) mulgwá melo’,17,NUM,general
18,(háhárá) mulgwá fúɗet,18,NUM,general
19,(háhárá) mulgwá yelâm,19,NUM,general
20,háhárá wùl,20,NUM,general
21,háhárá wùl tú hâ:m,21,NUM,general
30,háhárá kpán,30,NUM,general
40,háhárá pú’,40,NUM,general
50,háhárá hárá,50,NUM,general
60,háhárá hárâm,60,NUM,general
70,háhárá melo’,70,NUM,general
80,háhárá fúɗêt,80,NUM,general
90,háhárá yelâm,90,NUM,general
100,ndìk,100,NUM,general
200,ndìk wùl,200,NUM,general
500,ndìk hárá,500,NUM,general
1000,ndìk wuri áʃaʃ háhárá,1000,NUM,general
"abuse, insult",ʃíràl,"abuse, insult",NOUN,general
accompany (escort),gyát lá,accompany (escort),VERB,general
accustom,manay ti,accustom,PROPN,general
agree,mun,agree,VERB,general
allow,mun,allow,VERB,general
answer,mun,answer,VERB,general
"appear, come
out",hôf lá,"appear, come out",VERB,general
argue,(gyer) ʃweʃ,argue,VERB,general
arrive,ndôk,arrive,VERB,general
ask (question),lul,ask (question),VERB,general
"avoid, abstain
from",mun gwa,"avoid, abstain from",VERB,general
"bake, burn, fire",fot,"bake, burn, fire",PROPN,general
barter,kiŋger,barter,NOUN,general
bathe,ʃínjâ,bathe,VERB,general
be able,sjen,be able,AUX,general
be astonished,yor,be astonished,VERB,general
be still,man mbá,be still,AUX,general
be tired,ʃwaál,be tired,AUX,general
beat (gen.),dûk,beat (gen.),PROPN,general
beat drum,cí’ alilíŋ,beat drum,VERB,general
become,mâ:n,become,VERB,general
become fat,ku’,become fat,VERB,general
become old,hwêr,become old,VERB,general
"beg, ask for","fwal, kabok","beg, ask for",VERB,general
beget [zeugen],gîr wí,beget [zeugen],PROPN,general
begin,furál,begin,VERB,general
bend,lúwìʃ tí,bend,VERB,general
bite,gôr,bite,VERB,general
bite a piece off,goral tá gu:r,bite a piece off,VERB,general
blow (mouth),fû’,blow (mouth),NOUN,general
blow (wind),rîn,blow (wind),VERB,general
boil (up),fos,boil (up),VERB,general
borrow,hôf,borrow,VERB,general
bow down,magu’,bow down,VERB,general
bow down,magu’ á ndìk,bow down,VERB,general
branch,wêl,branch,NOUN,general
break (stick),sîk,break (stick),PROPN,general
"break, smash
(pot)",hará’,"break, smash (pot)",PROPN,general
breathe,mafôs,breathe,VERB,general
brew,ɓôr aʃú,brew,VERB,general
bring,gulâ hí,bring,VERB,general
build (house),ɓét,build (house),VERB,general
burn (tr.),tulal mwan,burn (tr.),VERB,general
buy,hyew,buy,VERB,general
call (summon),lal,call (summon),VERB,general
carry (load),tjek gulá,carry (load),VERB,general
carry child,huru’,carry child,VERB,general
carry fire,"têk mwan, hôl mwan",carry fire,VERB,general
catch,gjer,catch,VERB,general
catch up,wod mwát á kwès,catch up,VERB,general
cease,taŋ,cease,NOUN,general
change,ʃên lá,change,VERB,general
chase,ŋgâr yé’,chase,NOUN,general
cheat,dâŋ,cheat,VERB,general
chew,wó’ ti,chew,VERB,general
"choose, select",sakat,"choose, select",VERB,general
chop down (tree),háy,chop down (tree),VERB,general
cohabit,ká nufuy,cohabit,NOUN,general
"combine, join",ʃilîm,"combine, join",VERB,general
come,kán ɗuúʃ,come,VERB,general
conquer,wó’ hòrò,conquer,NOUN,general
cook,tòl,cook,VERB,general
cough,gbùk,cough,PROPN,general
count,mbi’,count,NOUN,general
cover (a pot),vo,cover (a pot),VERB,general
crawl,kambút,crawl,NOUN,general
cross,lugwát,cross,VERB,general
"cultivate, till",hasí,"cultivate, till",VERB,general
cut,sík,cut,VERB,general
cut (with knife),sík,cut (with knife),VERB,general
cut down,háy,cut down,VERB,general
cut marks,sîk alé’,cut marks,VERB,general
dance,"jìk, ʃir, go",dance,NOUN,general
decrease (intr.),ɗyu’âl,decrease (intr.),NOUN,general
defecate,fí,defecate,ADJ,general
deny,"gisen, ɓiŋgil",deny,VERB,general
descend,ɗôr,descend,VERB,general
destroy,tûl lá,destroy,VERB,general
die,môt,die,VERB,general
dig,"tem, yaw",dig,VERB,general
"dig, excavate",yaw,"dig, excavate",VERB,general
dip in,sugwát ɗen,dip in,NOUN,general
"disperse
(scatter) (intr.)",ɓa:s tí,disperse (scatter) (intr.),VERB,general
dive,nzalek,dive,NOUN,general
divide (share out),kar,divide (share out),VERB,general
draw water,hôl áyîn,draw water,VERB,general
"draw, pull out",ndô lá,"draw, pull out",VERB,general
dream,na ámbár,dream,NOUN,general
drink,del,drink,VERB,general
drip,ndâ:l,drip,VERB,general
drive away,ŋgâr,drive away,VERB,general
drop,wáàt,drop,VERB,general
dry up,sinzyé,dry up,VERB,general
dry up (in sun),"ɓâ:s lá, nzé’ lá",dry up (in sun),VERB,general
dwell,mumun,dwell,PROPN,general
eat,wo’,eat,VERB,general
embrace,kutûm,embrace,VERB,general
embroider,nyêr tá:l,embroider,NOUN,general
emigrate,gâ:l,emigrate,VERB,general
enter,roát,enter,VERB,general
equalize,sigá’,equalize,VERB,general
escape,pwêt,escape,VERB,general
examine,"mba, ŋgwalal",examine,VERB,general
exceed,"pakal, vuá:t",exceed,VERB,general
"exchange
(goods)",ʃen,exchange (goods),NOUN,general
explain,fâr tí,explain,VERB,general
extinguish (tr.),ndêk lá,extinguish (tr.),PROPN,general
fall,fûr,fall,NOUN,general
fan,vît,fan,NOUN,general
fear,kucir,fear,VERB,general
feed,wo’ tísi (‘),feed,NOUN,general
feel,hal,feel,VERB,general
ferment,nyêr,ferment,ADJ,general
fight,mbàyàt,fight,VERB,general
fill,kyalakal,fill,VERB,general
"filter, strain","cicak, tis","filter, strain",VERB,general
find,kwa:lí,find,VERB,general
finish,marál,finish,NOUN,general
fish,gyâr goʃé,fish,NOUN,general
fly,lú’ (fit),fly,VERB,general
fold,kwît,fold,VERB,general
follow,gulá a wí,follow,VERB,general
forbid,cà,forbid,VERB,general
forge,dûk cef,forge,NOUN,general
forget,watal a tèmá,forget,VERB,general
freeze,záùmì,freeze,VERB,general
fry,faŋ,fry,PROPN,general
"gather, collect","sô’, suɓut","gather, collect",VERB,general
germinate,"mbya, ro",germinate,NOUN,general
give,ndi,give,VERB,general
give back,tun tál,give back,VERB,general
"give birth
(child)",gir wí,give birth (child),VERB,general
"glide, slip",tundúl,"glide, slip",NOUN,general
gnaw,gora:l,gnaw,PROPN,general
go (to),mwat,go (to),VERB,general
go out,pâk lá,go out,VERB,general
"go up, mount",rê’,"go up, mount",VERB,general
greet,ton,greet,NOUN,general
grind,ní’,grind,VERB,general
grow,lá’,grow,VERB,general
hang down,no’ gyolgyol,hang down,VERB,general
hang up,no’ ti hule’,hang up,VERB,general
harvest,"hôm, karat",harvest,NOUN,general
hate,gisél,hate,VERB,general
heal,wotót,heal,VERB,general
hear,hal,hear,VERB,general
help,bum,help,VERB,general
hide (intr.),malat,hide (intr.),VERB,general
hide (tr.),latál la,hide (tr.),VERB,general
"hit, punch","cí’, kûm","hit, punch",VERB,general
hold (s.t.),gjeral,hold (s.t.),VERB,general
hollow out,huk lá,hollow out,VERB,general
hunt,wâr,hunt,NOUN,general
hurry,ŋgâ:s,hurry,VERB,general
increase (intr.),walâ:l,increase (intr.),VERB,general
jump,fîs,jump,NOUN,general
kick,ŋgwâk,kick,VERB,general
kill,"dukwál a hái, sakát (slaughter)",kill,VERB,general
knead,laŋgá’,knead,ADJ,general
kneel down,tula rún,kneel down,VERB,general
know (s.o.),sjen,know (s.o.),VERB,general
know (s.th.),sjen,know (s.th.),VERB,general
lack,kwâ:l gwa,lack,NOUN,general
land,ɗor,land,NOUN,general
leak,nyêf,leak,NOUN,general
"learn, imitate",sjên,"learn, imitate",VERB,general
leave,yôn,leave,VERB,general
lend,hôf,lend,VERB,general
lick,lo’,lick,PROPN,general
lie (tell lies),far lan,lie (tell lies),NOUN,general
lie down,yína ndìk,lie down,VERB,general
lift,tekat í fit,lift,VERB,general
limp,ʃigyá:k,limp,ADJ,general
live,mafôs,live,ADJ,general
look at,ŋgwalal wo,look at,VERB,general
loosen,kutá lá laŋlaŋ,loosen,VERB,general
lose (s.t.),"nuk tí, wa’ tí",lose (s.t.),VERB,general
lose one’s way,manûk,lose one’s way,VERB,general
laugh,legát,laugh,VERB,general
make (do),sál,make (do),VERB,general
make a basket,ɗumó cèt,make a basket,VERB,general
"make, braid rope",huriʃ,"make, braid rope",VERB,general
marry,kuŋgo,marry,VERB,general
"mature,
become ripe",ni,"mature, become ripe",VERB,general
measure,mbâ:,measure,NOUN,general
meet,tôf ká,meet,VERB,general
melt,nî lá,melt,VERB,general
milk,fóf,milk,NOUN,general
mix,laŋgá’,mix,VERB,general
mould (pot),ɓet muʃét,mould (pot),PROPN,general
"move, stir
(intr.)",yeral,"move, stir (intr.)",NOUN,general
obey,hâl tón,obey,VERB,general
open (door),ɓwalí,open (door),ADJ,general
open (mouth),ɓwalí,open (mouth),NOUN,general
pass (by),pâk tí,pass (by),VERB,general
pay (for),tâ:l,pay (for),VERB,general
peel,biʃé’,peel,NOUN,general
pick,taŋ,pick,VERB,general
pierce,bukál,pierce,VERB,general
pile (up),so’al háy,pile (up),NOUN,general
plait hair,tindîl háy,plait hair,NOUN,general
"plant (e.g.
tomato)",cun,plant (e.g. tomato),NOUN,general
play,nyinyáʃ,play,VERB,general
pluck out,mgbya,pluck out,VERB,general
"possess, have",tál,"possess, have",VERB,general
"pound, stamp",dúk,"pound, stamp",NOUN,general
pour (in),kûs tí,pour (in),VERB,general
pour out,kusá ti,pour out,VERB,general
pray,kabók fa:t,pray,VERB,general
prepare tuwo,tòl,prepare tuwo,VERB,general
"press, hold
down",tjerál,"press, hold down",VERB,general
prick,tûl,prick,VERB,general
protect,faŋ,protect,VERB,general
pull,ndô,pull,VERB,general
push,tuŋgwát,push,VERB,general
put,gîr,put,VERB,general
put in,"gîr tí, gîr ɗjen",put in,VERB,general
reach,ndôk,reach,VERB,general
read,mbí’,read,VERB,general
receive,mus,receive,VERB,general
reckon,ʃilim ambi’ la,reckon,VERB,general
refuse,gi- + suffix,refuse,VERB,general
remain,kâ:t,remain,VERB,general
remember,mbi’,remember,VERB,general
repeat,"tunâl háy, tasál ti",repeat,VERB,general
resemble,sôl fátì,resemble,VERB,general
rest,mafôs,rest,VERB,general
"return, come
back",tûn tí,"return, come back",VERB,general
ride,nyarék púrí,ride,VERB,general
ridge up,far á hasí,ridge up,VERB,general
roast (grill),fot,roast (grill),NOUN,general
roll,máʃiír,roll,NOUN,general
"rot, decay",njérèl,"rot, decay",VERB,general
round off,talâs,round off,ADV,general
rub,ʃukút,rub,PROPN,general
rub off,hûk lá,rub off,VERB,general
run,nyêf,run,VERB,general
say,ne,say,VERB,general
scatter (tr.),karat,scatter (tr.),PROPN,general
scrape,kuŋgós,scrape,VERB,general
scratch,kuŋgós,scratch,NOUN,general
see,ryál,see,VERB,general
seek,ha’,seek,VERB,general
seize,tikal,seize,VERB,general
sell,hyewâ:t,sell,VERB,general
send (s.o. to do s.t.),gyaát,send (s.o. to do s.t.),VERB,general
separate,kâr tí,separate,ADJ,general
set bones,nó’ ŋgìʃyàwaʃ,set bones,VERB,general
set trap,deŋ ɗáŋgór,set trap,VERB,general
sew,sôr,sew,VERB,general
shake,yeral,shake,VERB,general
sharpen,ci’ál,sharpen,NOUN,general
shoot,basík,shoot,VERB,general
shout,gu’ jólwò,shout,VERB,general
show (s.t.),kof tí,show (s.t.),PROPN,general
"shut, close",vo,"shut, close",PROPN,general
sing,magó,sing,VERB,general
sit (down),man mumun,sit (down),VERB,general
skin,lamó’,skin,NOUN,general
sleep,mwaát ɗiná,sleep,NOUN,general
smell,ndo,smell,NOUN,general
smell,sundo,smell,NOUN,general
"smoke
(tobacco)",del tá:bà,smoke (tobacco),NOUN,general
sneeze,dìʃ,sneeze,VERB,general
snore,hiŋgar,snore,VERB,general
sow,sut,sow,VERB,general
"sow (seeds in
holes)",fé’ arés,sow (seeds in holes),VERB,general
spend long time,yáʃ,spend long time,VERB,general
spin (thread),lom,spin (thread),NOUN,general
spit,yila,spit,PROPN,general
"split, chop into
pieces",bák,"split, chop into pieces",VERB,general
spread out,karat tí,spread out,VERB,general
"spread out in
sun to dry",ɓas,spread out in sun to dry,VERB,general
squat,magu’,squat,NOUN,general
"squeeze, wring out",huríʃ,"squeeze, wring out",VERB,general
stab (spear),tûl,stab (spear),PROPN,general
stand,zar,stand,VERB,general
stand up,lifit muzar,stand up,VERB,general
steal,njir,steal,VERB,general
"stick, push into
the ground",ŋgwak á ndìk,"stick, push into the ground",VERB,general
strike fire,fú’ mwan,strike fire,NOUN,general
strip off,biʃé’,strip off,VERB,general
suck,nzaɓwet,suck,VERB,general
suffer,del ʃùm,suffer,VERB,general
swallow,ɗulat,swallow,ADV,general
swear,seɗáàt,swear,VERB,general
sweat,tundoy,sweat,NOUN,general
sweep,wâs,sweep,VERB,general
swell (intr.),kú’,swell (intr.),VERB,general
swim,bîm,swim,VERB,general
take,tek,take,VERB,general
"take away,
remove",tjek lá,"take away, remove",VERB,general
talk,findel,talk,VERB,general
taste,hâl,taste,NOUN,general
teach,kôf tí,teach,VERB,general
tear (tr.),wyâ tí,tear (tr.),PROPN,general
tell,far,tell,VERB,general
thank,palaŋ,thank,VERB,general
think,"mbi’, ben findel",think,VERB,general
thresh,"ʃaŋgot, dúk",thresh,PROPN,general
throw (gen.),wu’,throw (gen.),VERB,general
throw (stone),wú’,throw (stone),VERB,general
throw spear,yây táy,throw spear,VERB,general
tie (with rope),nô’,tie (with rope),VERB,general
tie knot,cunál,tie knot,NOUN,general
touch,ŋgyal,touch,NOUN,general
travel,ɗát yât,travel,NOUN,general
tremble,yá:rì,tremble,NOUN,general
try,wod mwát,try,VERB,general
turn (round),ʃirâl,turn (round),VERB,general
turn round (intr.),ʃiral,turn round (intr.),VERB,general
twist,húrîʃ,twist,NOUN,general
unload,tjek gulá la,unload,VERB,general
untie,kutá lá,untie,ADJ,general
urinate,njar,urinate,VERB,general
vomit,hwâʃ,vomit,VERB,general
wait,zar,wait,VERB,general
walk,yát,walk,VERB,general
want,fûk,want,VERB,general
warm (o.s.) up,tefán yící,warm (o.s.) up,ADJ,general
wash (body),ʃínjâ,wash (body),NOUN,general
wash (clothes),ʃinjâ tìndà,wash (clothes),VERB,general
"wash, clear, clean",ʃínjâ,"wash, clear, clean",NOUN,general
wear (clothes),kûs,wear (clothes),VERB,general
weave,ɗumó,weave,VERB,general
weed,yará:l,weed,NOUN,general
weep (cry),ho,weep (cry),VERB,general
"wet, be",lo,"wet, be",AUX,general
"wet, make",kusál ayîn,"wet, make",VERB,general
whistle,susé’,whistle,ADJ,general
widen (hole),walal baŋ,widen (hole),PROPN,general
winnow,vît fo’,winnow,NOUN,general
"winnow, fan",vit,"winnow, fan",PROPN,general
wipe,hûk,wipe,VERB,general
work,sál amás,work,VERB,general
"wrap, envelop",kwît,"wrap, envelop",VERB,general
write,woróŋ,write,VERB,general
I just came,yín kán ɗuúʃ,i just came,VERB,general
I am coming,yin ma ɗuúʃ,i am coming,VERB,general
"I am grateful, 
I am thankful",yin palang fwet,"i am grateful, i am thankful",AUX,general
Thank you very much,palang fwet,thank you very much,VERB,general
Love,fuk,love,NOUN,general
I love you,"yin fuk tish, yin fuk tya",i love you,VERB,general
you love me,ya fuk yin,you love me,VERB,general
we love,ni fuk,we love,VERB,general
